Conjugation,Verb,Tense,Person,Lesson#,Lesson ID,Shared
naiz,izan,present,ni,0,izan-present,NO
zara,izan,present,zu,0,izan-present,NO
da,izan,present,hura,0,izan-present,NO
nago,egon,present,ni,1,egon-present,NO
zaude,egon,present,zu,1,egon-present,YES
dago,egon,present,hura,1,egon-present,NO
dut,ukan,present,ni,3,ukan-present,NO
duzu,ukan,present,zu,3,ukan-present,NO
du,ukan,present,hura,3,ukan-present,NO
dakit,jakin,present,ni,9,jakin-present,NO
dakizu,jakin,present,zu,9,jakin-present,NO
daki,jakin,present,hura,9,jakin-present,NO
nahi dut,nahi,present,ni,10,nahi-present,NO
nahi duzu,nahi,present,zu,10,nahi-present,NO
nahi du,nahi,present,hura,10,nahi-present,NO
ikusten dut,ikusi,present,ni,13,ikusi-present,NO
ikusten duzu,ikusi,present,zu,13,ikusi-present,NO
ikusten du,ikusi,present,hura,13,ikusi-present,NO
noa,joan,present,ni,15,joan-present,NO
zoaz,joan,present,zu,15,joan-present,YES
doa,joan,present,hura,15,joan-present,NO
nator,etorri,present,ni,16,etorri-present,NO
zatoz,etorri,present,zu,16,etorri-present,YES
dator,etorri,present,hura,16,etorri-present,NO
nabil,ibili,present,ni,17,ibili-present,NO
zabiltza,ibili,present,zu,17,ibili-present,NO
dabil,ibili,present,hura,17,ibili-present,NO
sartzen naiz,sartu,present,ni,19,nor-fodder-present,NO
sartzen zara,sartu,present,zu,19,nor-fodder-present,NO
sartzen da,sartu,present,hura,19,nor-fodder-present,NO
ateratzen naiz,atera,present,ni,19,nor-fodder-present,NO
ateratzen zara,atera,present,zu,19,nor-fodder-present,NO
ateratzen da,atera,present,hura,19,nor-fodder-present,NO
hasten naiz,hasi,present,ni,19,nor-fodder-present,NO
hasten zara,hasi,present,zu,19,nor-fodder-present,NO
hasten da,hasi,present,hura,19,nor-fodder-present,NO
bizi naiz,bizi-izan,present,ni,19,nor-fodder-present,NO
bizi zara,bizi-izan,present,zu,19,nor-fodder-present,NO
bizi da,bizi-izan,present,hura,19,nor-fodder-present,NO
erortzen naiz,erori,present,ni,19,nor-fodder-present,NO
erortzen zara,erori,present,zu,19,nor-fodder-present,NO
erortzen da,erori,present,hura,19,nor-fodder-present,NO
jaikitzen naiz,jaiki,present,ni,19,nor-fodder-present,NO
jaikitzen zara,jaiki,present,zu,19,nor-fodder-present,NO
jaikitzen da,jaiki,present,hura,19,nor-fodder-present,NO
arriskuan jartzen naiz,arriskuan-jarri,present,ni,19,nor-fodder-present,NO
arriskuan jartzen zara,arriskuan-jarri,present,zu,19,nor-fodder-present,NO
arriskuan jartzen da,arriskuan-jarri,present,hura,19,nor-fodder-present,NO
sartzen gara,sartu,present,gu,20,nor-fodder-present-plural,NO
sartzen zarete,sartu,present,zuek,20,nor-fodder-present-plural,NO
sartzen dira,sartu,present,haiek,20,nor-fodder-present-plural,NO
ateratzen gara,atera,present,gu,20,nor-fodder-present-plural,NO
ateratzen zarete,atera,present,zuek,20,nor-fodder-present-plural,NO
ateratzen dira,atera,present,haiek,20,nor-fodder-present-plural,NO
hasten gara,hasi,present,gu,20,nor-fodder-present-plural,NO
hasten zarete,hasi,present,zuek,20,nor-fodder-present-plural,NO
hasten dira,hasi,present,haiek,20,nor-fodder-present-plural,NO
bizi gara,bizi-izan,present,gu,20,nor-fodder-present-plural,NO
bizi zarete,bizi-izan,present,zuek,20,nor-fodder-present-plural,NO
bizi dira,bizi-izan,present,haiek,20,nor-fodder-present-plural,NO
erortzen gara,erori,present,gu,20,nor-fodder-present-plural,NO
erortzen zarete,erori,present,zuek,20,nor-fodder-present-plural,NO
erortzen dira,erori,present,haiek,20,nor-fodder-present-plural,NO
jaikitzen gara,jaiki,present,gu,20,nor-fodder-present-plural,NO
jaikitzen zarete,jaiki,present,zuek,20,nor-fodder-present-plural,NO
jaikitzen dira,jaiki,present,haiek,20,nor-fodder-present-plural,NO
arriskuan jartzen gara,arriskuan-jarri,present,gu,20,nor-fodder-present-plural,NO
arriskuan jartzen zarete,arriskuan-jarri,present,zuek,20,nor-fodder-present-plural,NO
arriskuan jartzen dira,arriskuan-jarri,present,haiek,20,nor-fodder-present-plural,NO
gara,izan,present,gu,21,unit-6-review-1,NO
zarete,izan,present,zuek,21,unit-6-review-1,NO
dira,izan,present,haiek,21,unit-6-review-1,NO
dugu,ukan,present,gu,21,unit-6-review-1,NO
duzue,ukan,present,zuek,21,unit-6-review-1,NO
dute,ukan,present,haiek,21,unit-6-review-1,NO
gaude,egon,present,gu,22,unit-6-review-2,NO
zaudete,egon,present,zuek,22,unit-6-review-2,YES
daude,egon,present,haiek,22,unit-6-review-2,NO
goaz,joan,present,gu,22,unit-6-review-2,NO
zoazte,joan,present,zuek,22,unit-6-review-2,YES
doaz,joan,present,haiek,22,unit-6-review-2,NO
gatoz,etorri,present,gu,23,unit-6-review-3,NO
zatozte,etorri,present,zuek,23,unit-6-review-3,YES
datoz,etorri,present,haiek,23,unit-6-review-3,NO
ikusten dugu,ikusi,present,gu,24,ikusi-present-plural,NO
ikusten duzue,ikusi,present,zuek,24,ikusi-present-plural,NO
ikusten dute,ikusi,present,haiek,24,ikusi-present-plural,NO
ari naiz,ari,present,ni,28,ari-present,NO
ari zara,ari,present,zu,28,ari-present,NO
ari da,ari,present,hura,28,ari-present,NO
izan naiz,izan,presentPerfect,ni,33,izan-present-perfect-pool,NO
izan zara,izan,presentPerfect,zu,33,izan-present-perfect-pool,NO
izan da,izan,presentPerfect,hura,33,izan-present-perfect-pool,NO
joan naiz,joan,presentPerfect,ni,33,izan-present-perfect-pool,NO
joan zara,joan,presentPerfect,zu,33,izan-present-perfect-pool,NO
joan da,joan,presentPerfect,hura,33,izan-present-perfect-pool,NO
etorri naiz,etorri,presentPerfect,ni,33,izan-present-perfect-pool,NO
etorri zara,etorri,presentPerfect,zu,33,izan-present-perfect-pool,NO
etorri da,etorri,presentPerfect,hura,33,izan-present-perfect-pool,NO
izan gara,izan,presentPerfect,gu,34,izan-present-perfect-pool-plural,NO
izan zarete,izan,presentPerfect,zuek,34,izan-present-perfect-pool-plural,NO
izan dira,izan,presentPerfect,haiek,34,izan-present-perfect-pool-plural,NO
joan gara,joan,presentPerfect,gu,34,izan-present-perfect-pool-plural,NO
joan zarete,joan,presentPerfect,zuek,34,izan-present-perfect-pool-plural,NO
joan dira,joan,presentPerfect,haiek,34,izan-present-perfect-pool-plural,NO
etorri gara,etorri,presentPerfect,gu,34,izan-present-perfect-pool-plural,NO
etorri zarete,etorri,presentPerfect,zuek,34,izan-present-perfect-pool-plural,NO
etorri dira,etorri,presentPerfect,haiek,34,izan-present-perfect-pool-plural,NO
ikusi dut,ikusi,presentPerfect,ni,35,ikusi-present-perfect,NO
ikusi duzu,ikusi,presentPerfect,zu,35,ikusi-present-perfect,NO
ikusi du,ikusi,presentPerfect,hura,35,ikusi-present-perfect,NO
ikusi dugu,ikusi,presentPerfect,gu,36,ikusi-present-perfect-plural,NO
ikusi duzue,ikusi,presentPerfect,zuek,36,ikusi-present-perfect-plural,NO
ikusi dute,ikusi,presentPerfect,haiek,36,ikusi-present-perfect-plural,NO
nintzen,izan,past,ni,38,izan-past-pool,NO
zinen,izan,past,zu,38,izan-past-pool,NO
zen,izan,past,hura,38,izan-past-pool,NO
joan nintzen,joan,past,ni,38,izan-past-pool,NO
joan zinen,joan,past,zu,38,izan-past-pool,NO
joan zen,joan,past,hura,38,izan-past-pool,NO
etorri nintzen,etorri,past,ni,38,izan-past-pool,NO
etorri zinen,etorri,past,zu,38,izan-past-pool,NO
etorri zen,etorri,past,hura,38,izan-past-pool,NO
ibili nintzen,ibili,past,ni,38,izan-past-pool,NO
ibili zinen,ibili,past,zu,38,izan-past-pool,NO
ibili zen,ibili,past,hura,38,izan-past-pool,NO
sartu nintzen,sartu,past,ni,38,izan-past-pool,NO
sartu zinen,sartu,past,zu,38,izan-past-pool,NO
sartu zen,sartu,past,hura,38,izan-past-pool,NO
atera nintzen,atera,past,ni,38,izan-past-pool,NO
atera zinen,atera,past,zu,38,izan-past-pool,NO
atera zen,atera,past,hura,38,izan-past-pool,NO
hasi nintzen,hasi,past,ni,38,izan-past-pool,NO
hasi zinen,hasi,past,zu,38,izan-past-pool,NO
hasi zen,hasi,past,hura,38,izan-past-pool,NO
bizi nintzen,bizi-izan,past,ni,38,izan-past-pool,NO
bizi zinen,bizi-izan,past,zu,38,izan-past-pool,NO
bizi zen,bizi-izan,past,hura,38,izan-past-pool,NO
erori nintzen,erori,past,ni,38,izan-past-pool,NO
erori zinen,erori,past,zu,38,izan-past-pool,NO
erori zen,erori,past,hura,38,izan-past-pool,NO
jaiki nintzen,jaiki,past,ni,38,izan-past-pool,NO
jaiki zinen,jaiki,past,zu,38,izan-past-pool,NO
jaiki zen,jaiki,past,hura,38,izan-past-pool,NO
arriskuan jarri nintzen,arriskuan-jarri,past,ni,38,izan-past-pool,NO
arriskuan jarri zinen,arriskuan-jarri,past,zu,38,izan-past-pool,NO
arriskuan jarri zen,arriskuan-jarri,past,hura,38,izan-past-pool,NO
ginen,izan,past,gu,39,izan-past-pool-plural,NO
zineten,izan,past,zuek,39,izan-past-pool-plural,NO
ziren,izan,past,haiek,39,izan-past-pool-plural,NO
joan ginen,joan,past,gu,39,izan-past-pool-plural,NO
joan zineten,joan,past,zuek,39,izan-past-pool-plural,NO
joan ziren,joan,past,haiek,39,izan-past-pool-plural,NO
etorri ginen,etorri,past,gu,39,izan-past-pool-plural,NO
etorri zineten,etorri,past,zuek,39,izan-past-pool-plural,NO
etorri ziren,etorri,past,haiek,39,izan-past-pool-plural,NO
ibili ginen,ibili,past,gu,39,izan-past-pool-plural,NO
ibili zineten,ibili,past,zuek,39,izan-past-pool-plural,NO
ibili ziren,ibili,past,haiek,39,izan-past-pool-plural,NO
sartu ginen,sartu,past,gu,39,izan-past-pool-plural,NO
sartu zineten,sartu,past,zuek,39,izan-past-pool-plural,NO
sartu ziren,sartu,past,haiek,39,izan-past-pool-plural,NO
atera ginen,atera,past,gu,39,izan-past-pool-plural,NO
atera zineten,atera,past,zuek,39,izan-past-pool-plural,NO
atera ziren,atera,past,haiek,39,izan-past-pool-plural,NO
hasi ginen,hasi,past,gu,39,izan-past-pool-plural,NO
hasi zineten,hasi,past,zuek,39,izan-past-pool-plural,NO
hasi ziren,hasi,past,haiek,39,izan-past-pool-plural,NO
bizi ginen,bizi-izan,past,gu,39,izan-past-pool-plural,NO
bizi zineten,bizi-izan,past,zuek,39,izan-past-pool-plural,NO
bizi ziren,bizi-izan,past,haiek,39,izan-past-pool-plural,NO
erori ginen,erori,past,gu,39,izan-past-pool-plural,NO
erori zineten,erori,past,zuek,39,izan-past-pool-plural,NO
erori ziren,erori,past,haiek,39,izan-past-pool-plural,NO
jaiki ginen,jaiki,past,gu,39,izan-past-pool-plural,NO
jaiki zineten,jaiki,past,zuek,39,izan-past-pool-plural,NO
jaiki ziren,jaiki,past,haiek,39,izan-past-pool-plural,NO
arriskuan jarri ginen,arriskuan-jarri,past,gu,39,izan-past-pool-plural,NO
arriskuan jarri zineten,arriskuan-jarri,past,zuek,39,izan-past-pool-plural,NO
arriskuan jarri ziren,arriskuan-jarri,past,haiek,39,izan-past-pool-plural,NO
jaten dut,jan,present,ni,40,unit-10-present,NO
jaten duzu,jan,present,zu,40,unit-10-present,NO
jaten du,jan,present,hura,40,unit-10-present,NO
edaten dut,edan,present,ni,40,unit-10-present,NO
edaten duzu,edan,present,zu,40,unit-10-present,NO
edaten du,edan,present,hura,40,unit-10-present,NO
erosten dut,erosi,present,ni,40,unit-10-present,NO
erosten duzu,erosi,present,zu,40,unit-10-present,NO
erosten du,erosi,present,hura,40,unit-10-present,NO
hartzen dut,hartu,present,ni,40,unit-10-present,NO
hartzen duzu,hartu,present,zu,40,unit-10-present,NO
hartzen du,hartu,present,hura,40,unit-10-present,NO
egiten dut,egin,present,ni,40,unit-10-present,NO
egiten duzu,egin,present,zu,40,unit-10-present,NO
egiten du,egin,present,hura,40,unit-10-present,NO
irakurtzen dut,irakurri,present,ni,40,unit-10-present,NO
irakurtzen duzu,irakurri,present,zu,40,unit-10-present,NO
irakurtzen du,irakurri,present,hura,40,unit-10-present,NO
idazten dut,idatzi,present,ni,40,unit-10-present,NO
idazten duzu,idatzi,present,zu,40,unit-10-present,NO
idazten du,idatzi,present,hura,40,unit-10-present,NO
ikasten dut,ikasi,present,ni,40,unit-10-present,NO
ikasten duzu,ikasi,present,zu,40,unit-10-present,NO
ikasten du,ikasi,present,hura,40,unit-10-present,NO
entzuten dut,entzun,present,ni,40,unit-10-present,NO
entzuten duzu,entzun,present,zu,40,unit-10-present,NO
entzuten du,entzun,present,hura,40,unit-10-present,NO
uzten dut,utzi,present,ni,40,unit-10-present,NO
uzten duzu,utzi,present,zu,40,unit-10-present,NO
uzten du,utzi,present,hura,40,unit-10-present,NO
aurkitzen dut,aurkitu,present,ni,40,unit-10-present,NO
aurkitzen duzu,aurkitu,present,zu,40,unit-10-present,NO
aurkitzen du,aurkitu,present,hura,40,unit-10-present,NO
bilatzen dut,bilatu,present,ni,40,unit-10-present,NO
bilatzen duzu,bilatu,present,zu,40,unit-10-present,NO
bilatzen du,bilatu,present,hura,40,unit-10-present,NO
galtzen dut,galdu,present,ni,40,unit-10-present,NO
galtzen duzu,galdu,present,zu,40,unit-10-present,NO
galtzen du,galdu,present,hura,40,unit-10-present,NO
jasotzen dut,jaso,present,ni,40,unit-10-present,NO
jasotzen duzu,jaso,present,zu,40,unit-10-present,NO
jasotzen du,jaso,present,hura,40,unit-10-present,NO
saltzen dut,saldu,present,ni,40,unit-10-present,NO
saltzen duzu,saldu,present,zu,40,unit-10-present,NO
saltzen du,saldu,present,hura,40,unit-10-present,NO
itxaroten dut,itxaron,present,ni,40,unit-10-present,NO
itxaroten duzu,itxaron,present,zu,40,unit-10-present,NO
itxaroten du,itxaron,present,hura,40,unit-10-present,NO
eskatzen dut,eskatu,present,ni,40,unit-10-present,NO
eskatzen duzu,eskatu,present,zu,40,unit-10-present,NO
eskatzen du,eskatu,present,hura,40,unit-10-present,NO
galdetzen dut,galdetu,present,ni,40,unit-10-present,NO
galdetzen duzu,galdetu,present,zu,40,unit-10-present,NO
galdetzen du,galdetu,present,hura,40,unit-10-present,NO
adierazten dut,adierazi,present,ni,40,unit-10-present,NO
adierazten duzu,adierazi,present,zu,40,unit-10-present,NO
adierazten du,adierazi,present,hura,40,unit-10-present,NO
bukatzen dut,bukatu,present,ni,40,unit-10-present,NO
bukatzen duzu,bukatu,present,zu,40,unit-10-present,NO
bukatzen du,bukatu,present,hura,40,unit-10-present,NO
amaitzen dut,amaitu,present,ni,40,unit-10-present,NO
amaitzen duzu,amaitu,present,zu,40,unit-10-present,NO
amaitzen du,amaitu,present,hura,40,unit-10-present,NO
gainditzen dut,gainditu,present,ni,40,unit-10-present,NO
gainditzen duzu,gainditu,present,zu,40,unit-10-present,NO
gainditzen du,gainditu,present,hura,40,unit-10-present,NO
bereizten dut,bereiztu,present,ni,40,unit-10-present,NO
bereizten duzu,bereiztu,present,zu,40,unit-10-present,NO
bereizten du,bereiztu,present,hura,40,unit-10-present,NO
ezagutzen dut,ezagutu,present,ni,40,unit-10-present,NO
ezagutzen duzu,ezagutu,present,zu,40,unit-10-present,NO
ezagutzen du,ezagutu,present,hura,40,unit-10-present,NO
sentitzen dut,sentitu,present,ni,40,unit-10-present,NO
sentitzen duzu,sentitu,present,zu,40,unit-10-present,NO
sentitzen du,sentitu,present,hura,40,unit-10-present,NO
pentsatzen dut,pentsatu,present,ni,40,unit-10-present,NO
pentsatzen duzu,pentsatu,present,zu,40,unit-10-present,NO
pentsatzen du,pentsatu,present,hura,40,unit-10-present,NO
sumatzen dut,sumatu,present,ni,40,unit-10-present,NO
sumatzen duzu,sumatu,present,zu,40,unit-10-present,NO
sumatzen du,sumatu,present,hura,40,unit-10-present,NO
ulertzen dut,ulertu,present,ni,40,unit-10-present,NO
ulertzen duzu,ulertu,present,zu,40,unit-10-present,NO
ulertzen du,ulertu,present,hura,40,unit-10-present,NO
aztertzen dut,aztertu,present,ni,40,unit-10-present,NO
aztertzen duzu,aztertu,present,zu,40,unit-10-present,NO
aztertzen du,aztertu,present,hura,40,unit-10-present,NO
ukatzen dut,ukatu,present,ni,40,unit-10-present,NO
ukatzen duzu,ukatu,present,zu,40,unit-10-present,NO
ukatzen du,ukatu,present,hura,40,unit-10-present,NO
batzen dut,batu,present,ni,40,unit-10-present,NO
batzen duzu,batu,present,zu,40,unit-10-present,NO
batzen du,batu,present,hura,40,unit-10-present,NO
planteatzen dut,planteatu,present,ni,40,unit-10-present,NO
planteatzen duzu,planteatu,present,zu,40,unit-10-present,NO
planteatzen du,planteatu,present,hura,40,unit-10-present,NO
hausnartzen dut,hausnartu,present,ni,40,unit-10-present,NO
hausnartzen duzu,hausnartu,present,zu,40,unit-10-present,NO
hausnartzen du,hausnartu,present,hura,40,unit-10-present,NO
argudiatzen dut,argudiatu,present,ni,40,unit-10-present,NO
argudiatzen duzu,argudiatu,present,zu,40,unit-10-present,NO
argudiatzen du,argudiatu,present,hura,40,unit-10-present,NO
ondorioztatzen dut,ondorioztatu,present,ni,40,unit-10-present,NO
ondorioztatzen duzu,ondorioztatu,present,zu,40,unit-10-present,NO
