Verb,Tense,Person,Covered,Form Key
adierazi,future,ni,YES,adierazi-future-ni
adierazi,future,zu,YES,adierazi-future-zu
adierazi,future,hura,YES,adierazi-future-hura
adierazi,future,gu,YES,adierazi-future-gu
adierazi,future,zuek,YES,adierazi-future-zuek
adierazi,future,haiek,YES,adierazi-future-haiek
adierazi,past,ni,YES,adierazi-past-ni
adierazi,past,zu,YES,adierazi-past-zu
adierazi,past,hura,YES,adierazi-past-hura
adierazi,past,gu,YES,adierazi-past-gu
adierazi,past,zuek,YES,adierazi-past-zuek
adierazi,past,haiek,YES,adierazi-past-haiek
adierazi,present,ni,YES,adierazi-present-ni
adierazi,present,zu,YES,adierazi-present-zu
adierazi,present,hura,YES,adierazi-present-hura
adierazi,present,gu,YES,adierazi-present-gu
adierazi,present,zuek,YES,adierazi-present-zuek
adierazi,present,haiek,YES,adierazi-present-haiek
ados-egon,future,ni,YES,ados-egon-future-ni
ados-egon,future,zu,YES,ados-egon-future-zu
ados-egon,future,hura,YES,ados-egon-future-hura
ados-egon,future,gu,YES,ados-egon-future-gu
ados-egon,future,zuek,YES,ados-egon-future-zuek
ados-egon,future,haiek,YES,ados-egon-future-haiek
ados-egon,past,ni,YES,ados-egon-past-ni
ados-egon,past,hi,NO,ados-egon-past-hi
ados-egon,past,zu,YES,ados-egon-past-zu
ados-egon,past,hura,YES,ados-egon-past-hura
ados-egon,past,gu,YES,ados-egon-past-gu
ados-egon,past,zuek,YES,ados-egon-past-zuek
ados-egon,past,haiek,YES,ados-egon-past-haiek
ados-egon,present,ni,YES,ados-egon-present-ni
ados-egon,present,hi,NO,ados-egon-present-hi
ados-egon,present,zu,YES,ados-egon-present-zu
ados-egon,present,hura,YES,ados-egon-present-hura
ados-egon,present,gu,YES,ados-egon-present-gu
ados-egon,present,zuek,YES,ados-egon-present-zuek
ados-egon,present,haiek,YES,ados-egon-present-haiek
ahal-izan,present,ni,YES,ahal-izan-present-ni
ahal-izan,present,zu,YES,ahal-izan-present-zu
ahal-izan,present,hura,YES,ahal-izan-present-hura
ahal-izan,present,gu,YES,ahal-izan-present-gu
ahal-izan,present,zuek,YES,ahal-izan-present-zuek
ahal-izan,present,haiek,YES,ahal-izan-present-haiek
ahal-ukan,present,ni,YES,ahal-ukan-present-ni
ahal-ukan,present,zu,YES,ahal-ukan-present-zu
ahal-ukan,present,hura,YES,ahal-ukan-present-hura
ahal-ukan,present,gu,YES,ahal-ukan-present-gu
ahal-ukan,present,zuek,YES,ahal-ukan-present-zuek
ahal-ukan,present,haiek,YES,ahal-ukan-present-haiek
ahaleginak-egin,future,ni,YES,ahaleginak-egin-future-ni
ahaleginak-egin,future,zu,YES,ahaleginak-egin-future-zu
ahaleginak-egin,future,hura,YES,ahaleginak-egin-future-hura
ahaleginak-egin,future,gu,YES,ahaleginak-egin-future-gu
ahaleginak-egin,future,zuek,YES,ahaleginak-egin-future-zuek
ahaleginak-egin,future,haiek,YES,ahaleginak-egin-future-haiek
ahaleginak-egin,past,ni,YES,ahaleginak-egin-past-ni
ahaleginak-egin,past,zu,YES,ahaleginak-egin-past-zu
ahaleginak-egin,past,hura,YES,ahaleginak-egin-past-hura
ahaleginak-egin,past,gu,YES,ahaleginak-egin-past-gu
ahaleginak-egin,past,zuek,YES,ahaleginak-egin-past-zuek
ahaleginak-egin,past,haiek,YES,ahaleginak-egin-past-haiek
ahaleginak-egin,present,ni,YES,ahaleginak-egin-present-ni
ahaleginak-egin,present,zu,YES,ahaleginak-egin-present-zu
ahaleginak-egin,present,hura,YES,ahaleginak-egin-present-hura
ahaleginak-egin,present,gu,YES,ahaleginak-egin-present-gu
ahaleginak-egin,present,zuek,YES,ahaleginak-egin-present-zuek
ahaleginak-egin,present,haiek,YES,ahaleginak-egin-present-haiek
ahaztu,baldintzaByNor,ni,YES,ahaztu-baldintzaByNor-ni
ahaztu,baldintzaByNor,zu,YES,ahaztu-baldintzaByNor-zu
ahaztu,baldintzaByNor,hura,NO,ahaztu-baldintzaByNor-hura
ahaztu,baldintzaByNor,gu,YES,ahaztu-baldintzaByNor-gu
ahaztu,baldintzaByNor,zuek,YES,ahaztu-baldintzaByNor-zuek
ahaztu,baldintzaByNor,haiek,NO,ahaztu-baldintzaByNor-haiek
ahaztu,conditionalByNor,ni,YES,ahaztu-conditionalByNor-ni
ahaztu,conditionalByNor,zu,YES,ahaztu-conditionalByNor-zu
ahaztu,conditionalByNor,hura,NO,ahaztu-conditionalByNor-hura
ahaztu,conditionalByNor,gu,YES,ahaztu-conditionalByNor-gu
ahaztu,conditionalByNor,zuek,YES,ahaztu-conditionalByNor-zuek
ahaztu,conditionalByNor,haiek,NO,ahaztu-conditionalByNor-haiek
ahaztu,conditionalPastByNor,ni,YES,ahaztu-conditionalPastByNor-ni
ahaztu,conditionalPastByNor,zu,YES,ahaztu-conditionalPastByNor-zu
ahaztu,conditionalPastByNor,hura,NO,ahaztu-conditionalPastByNor-hura
ahaztu,conditionalPastByNor,gu,YES,ahaztu-conditionalPastByNor-gu
ahaztu,conditionalPastByNor,zuek,YES,ahaztu-conditionalPastByNor-zuek
ahaztu,conditionalPastByNor,haiek,NO,ahaztu-conditionalPastByNor-haiek
ahaztu,futurePlural,ni,NO,ahaztu-futurePlural-ni
ahaztu,futurePlural,zu,NO,ahaztu-futurePlural-zu
ahaztu,futurePlural,hura,NO,ahaztu-futurePlural-hura
ahaztu,futurePlural,gu,NO,ahaztu-futurePlural-gu
ahaztu,futurePlural,zuek,NO,ahaztu-futurePlural-zuek
ahaztu,futurePlural,haiek,NO,ahaztu-futurePlural-haiek
ahaztu,imperativeByNor,ni,NO,ahaztu-imperativeByNor-ni
ahaztu,imperativeByNor,zu,YES,ahaztu-imperativeByNor-zu
ahaztu,imperativeByNor,hura,YES,ahaztu-imperativeByNor-hura
ahaztu,imperativeByNor,gu,NO,ahaztu-imperativeByNor-gu
ahaztu,imperativeByNor,zuek,YES,ahaztu-imperativeByNor-zuek
ahaztu,imperativeByNor,haiek,YES,ahaztu-imperativeByNor-haiek
ahaztu,pastPlural,ni,NO,ahaztu-pastPlural-ni
ahaztu,pastPlural,zu,NO,ahaztu-pastPlural-zu
ahaztu,pastPlural,hura,NO,ahaztu-pastPlural-hura
ahaztu,pastPlural,gu,NO,ahaztu-pastPlural-gu
ahaztu,pastPlural,zuek,NO,ahaztu-pastPlural-zuek
ahaztu,pastPlural,haiek,NO,ahaztu-pastPlural-haiek
ahaztu,potentialAlegiazkoaByNor,ni,YES,ahaztu-potentialAlegiazkoaByNor-ni
ahaztu,potentialAlegiazkoaByNor,zu,YES,ahaztu-potentialAlegiazkoaByNor-zu
ahaztu,potentialAlegiazkoaByNor,hura,NO,ahaztu-potentialAlegiazkoaByNor-hura
ahaztu,potentialAlegiazkoaByNor,gu,YES,ahaztu-potentialAlegiazkoaByNor-gu
ahaztu,potentialAlegiazkoaByNor,zuek,YES,ahaztu-potentialAlegiazkoaByNor-zuek
ahaztu,potentialAlegiazkoaByNor,haiek,NO,ahaztu-potentialAlegiazkoaByNor-haiek
ahaztu,potentialByNor,ni,YES,ahaztu-potentialByNor-ni
